News Outlet,Date,Compound,Positive,Neutral,Negative,Tweet Count,Tweet Text
@BBCNews,Fri Aug 03 08:04:55 +0000 2018,0.0,0.0,1.0,0.0,34,Drake's In My Feelings: What we learned from the new video https://t.co/plRk8gI6m3
@BBCNews,Fri Aug 03 07:52:14 +0000 2018,-0.4927,0.0,0.61,0.39,35,Carney: No-deal Brexit 'highly undesirable' https://t.co/dDqe8UpnKA
@BBCNews,Fri Aug 03 07:22:23 +0000 2018,0.5859,0.226,0.774,0.0,36,England v India: Virat Kohli is the show on day two after brilliant century https://t.co/7QtQ36u5cz
@BBCNews,Fri Aug 03 07:09:48 +0000 2018,0.0258,0.099,0.901,0.0,37,Washington Open: Andy Murray beats Marius Copil to reach quarter-finals https://t.co/Lnl3XvZsYB
@BBCNews,Fri Aug 03 06:53:31 +0000 2018,0.0,0.0,1.0,0.0,38,RT @BBCHughPym: Sepsis deaths in English hospitals and within 30 days of discharge up 38% over 2 years to 2016/17 - figures made available…
@BBCNews,Fri Aug 03 06:28:58 +0000 2018,-0.6486,0.0,0.699,0.301,39,'Zombie Boy' Rick Genest found dead at home in Montreal https://t.co/UporOYEsDs
@BBCNews,Fri Aug 03 06:16:36 +0000 2018,-0.1027,0.0,0.851,0.149,40,RBS to pay first dividend in 10 years https://t.co/wBHpfPwgjU
@BBCNews,Fri Aug 03 06:11:21 +0000 2018,0.0,0.0,1.0,0.0,41,Hospital sepsis deaths 'jump by a third' https://t.co/50yVoAZxtr
@BBCNews,Fri Aug 03 05:25:08 +0000 2018,0.1779,0.159,0.841,0.0,42,News Daily: Amazon tax bill falls and Zimbabwe result https://t.co/n8FvYaTNbi
@BBCNews,Fri Aug 03 04:54:59 +0000 2018,0.7003,0.345,0.655,0.0,43,European Championships 2018: Laura Kenny helps GB qualify fastest in team pursuit https://t.co/3wFEvej2lG
@BBCNews,Fri Aug 03 04:32:37 +0000 2018,0.4019,0.31,0.69,0.0,44,Dodgeball World Cup: England's Olympic dreams https://t.co/sZk8T59usZ
@BBCNews,Fri Aug 03 02:26:52 +0000 2018,0.0,0.0,1.0,0.0,45,Climber 'dug shelter' to survive mountain ordeal in New Zealand https://t.co/QjGWc3ZG1Y
@BBCNews,Fri Aug 03 02:18:52 +0000 2018,0.0,0.0,1.0,0.0,46,"Baby girl, 12 days old, has tooth removed https://t.co/CbdTuJF7XV"
@BBCNews,Fri Aug 03 01:48:55 +0000 2018,0.1027,0.149,0.851,0.0,47,Alfie Mawson: Fulham sign defender from Swansea City https://t.co/W2Vu7GGknf
@BBCNews,Fri Aug 03 01:43:36 +0000 2018,0.0,0.0,1.0,0.0,48,South Korea's spy cam porn epidemic https://t.co/nGAHe0jEf1
@BBCNews,Fri Aug 03 01:40:53 +0000 2018,0.6369,0.366,0.634,0.0,49,Parents who saved their only child by giving her away https://t.co/06BYO5RxXv
@BBCNews,Fri Aug 03 01:32:49 +0000 2018,0.5106,0.216,0.784,0.0,50,England v India: Virat Kohli makes 149 to rescue tourists in first Test https://t.co/X3XiPZpZFo
@BBCNews,Fri Aug 03 01:29:49 +0000 2018,0.0,0.0,1.0,0.0,51,Quiz: What part of the body can you sponsor in Japan? https://t.co/G6x8hsGMay
@BBCNews,Fri Aug 03 01:11:27 +0000 2018,-0.2732,0.0,0.84,0.16,52,Low levels of air pollution linked to changes in the heart https://t.co/TS7HD47wAW
@BBCNews,Fri Aug 03 01:09:34 +0000 2018,-0.4215,0.0,0.556,0.444,53,Tongue splitting: Surgeons warn of serious health risks https://t.co/wldXrrpDAz
@BBCNews,Fri Aug 03 00:48:53 +0000 2018,-0.34,0.0,0.769,0.231,54,Moped and quad bike warning for UK tourists https://t.co/168Z13P2lm
@BBCNews,Fri Aug 03 00:32:30 +0000 2018,-0.3818,0.0,0.794,0.206,55,Armed forces chief vows to fight false Northern Ireland claims https://t.co/jV6Hf8bo1x
@BBCNews,Fri Aug 03 00:17:51 +0000 2018,0.1779,0.175,0.825,0.0,56,Amazon pays £1.7m corporation tax in the UK https://t.co/fYEauZ8vuU
@BBCNews,Thu Aug 02 22:48:35 +0000 2018,-0.7717,0.0,0.599,0.401,57,Down's syndrome man with toy gun shot dead by Swedish police https://t.co/hQvrWCUd64
@BBCNews,Thu Aug 02 22:42:54 +0000 2018,0.0,0.0,1.0,0.0,58,Newspaper headlines: More rate rises and Amazon's tax bill https://t.co/m6aYaS513J
@BBCNews,Thu Aug 02 22:37:39 +0000 2018,0.0,0.0,1.0,0.0,59,Zimbabwe election: Emmerson Mnangagwa leads poll count https://t.co/PRPk2QiIkl
@BBCNews,Thu Aug 02 22:01:03 +0000 2018,0.5093,0.224,0.667,0.109,60,"RT @BBCSport: Being a cameraman at the cricket can be a dangerous job.

Good job the camera was there to save him!

Watch: https://t.co/fOO…"
@BBCNews,Thu Aug 02 21:56:16 +0000 2018,-0.7783,0.0,0.469,0.531,61,Two men injured in Ibrox football violence https://t.co/apJOZHsYih
@BBCNews,Thu Aug 02 21:51:44 +0000 2018,0.0,0.0,1.0,0.0,62,"Friday's Daily Mail
“They’re taking us for fools”

#tomorrowspaperstoday
#bbcpapers
(via @hendopolis) https://t.co/r3HrHfJ2Ug"
@BBCNews,Thu Aug 02 21:50:47 +0000 2018,0.4215,0.219,0.781,0.0,63,Burnley 3-1 Aberdeen: Premier League side progress 4-2 on aggregate https://t.co/MRal9RhJPe
@BBCNews,Thu Aug 02 21:34:00 +0000 2018,-0.1027,0.0,0.903,0.097,64,"Friday's Daily Mirror 
“Amazon now pay even less tax”

#tomorrowspaperstoday
#bbcpapers
(via @hendopolis) https://t.co/2ymEoFTwP6"
@BBCNews,Thu Aug 02 21:31:43 +0000 2018,0.0,0.0,1.0,0.0,65,"Friday's Guardian
“Air pollution linked to early symptoms of heart failure”

#tomorrowspaperstoday
#bbcpapers
(via… https://t.co/GMMiq6YSPf"
@BBCNews,Thu Aug 02 21:26:08 +0000 2018,-0.1027,0.157,0.663,0.181,66,"Friday's Daily Telegraph
“Army Chief: I’ll protect Troubles veterans”

#tomorrowspaperstoday
#bbcpapers
(via… https://t.co/xFAVnKXFXC"
@BBCNews,Thu Aug 02 21:24:56 +0000 2018,-0.6808,0.0,0.739,0.261,67,"Friday's Times
“Women with disabilities raped by visa cheats”

#tomorrowspaperstoday
#bbcpapers
(via @hendopolis) https://t.co/zQvZ1NOvlU"
@BBCNews,Thu Aug 02 21:10:33 +0000 2018,0.3818,0.191,0.809,0.0,68,"Friday's i
“End of the ultra-cheap credit age”

#tomorrowspaperstoday
#bbcpapers
(via @hendopolis) https://t.co/FuXTJ1rvIw"
@BBCNews,Thu Aug 02 21:09:59 +0000 2018,0.0,0.0,1.0,0.0,69,"Friday's Daily Express
“Three week wait to see your doctor”

#tomorrowspaperstoday
#bbcpapers
(via @hendopolis) https://t.co/U0iboEf9yh"
@BBCNews,Thu Aug 02 21:06:35 +0000 2018,0.0,0.0,1.0,0.0,70,Hockey Women's World Cup: England knocked out by Netherlands https://t.co/TBdnWDP7Sn
@BBCNews,Thu Aug 02 21:01:27 +0000 2018,0.0772,0.128,0.755,0.117,71,"RT @BBCSport: England are out at the quarter-final stage of their home World Cup.

Defending champions Netherlands defeated them 2-0 at Lee…"
@BBCNews,Thu Aug 02 20:55:19 +0000 2018,-0.1027,0.0,0.896,0.104,72,"Friday's Metro
“Bank warns of more rate rises”

#tomorrowspaperstoday
#bbcpapers
(via @hendopolis) https://t.co/LBMZDAZh5O"
@BBCNews,Thu Aug 02 20:52:52 +0000 2018,-0.228,0.0,0.88,0.12,73,"Friday's Daily Star
“We almost missed out on £58m jackpot”

#tomorrowspaperstoday
#bbcpapers
(via @hendopolis) https://t.co/lLCxHprUAP"
@BBCNews,Thu Aug 02 20:39:10 +0000 2018,0.0,0.0,1.0,0.0,74,RT @bbcweather: A range of temperatures across the UK tomorrow. Jo https://t.co/60XBjQk0gy
@BBCNews,Thu Aug 02 20:34:40 +0000 2018,0.0,0.0,1.0,0.0,75,"RT @BBCWorld: 🌻🌻🤳🌻🌻🤳🏻🌻🌻🤳🏾🌻🌻🤳🏽🌻🌻🤳🌻🌻🤳🌻🌻🤳🏻🌻🌻🤳🏾🌻🌻🤳🏽🌻🌻🤳🌻🌻🤳🌻🌻🤳🏻🌻🌻🤳🏾🌻🌻

How sunflowers and selfies caused a 'zombie apocalypse'

https://t.co/GuWF…"
@BBCNews,Thu Aug 02 20:25:22 +0000 2018,0.0,0.0,1.0,0.0,76,Derby grandfather grows giant 'cucumber' https://t.co/FoGC99g8YV
@BBCNews,Thu Aug 02 20:10:16 +0000 2018,0.7269,0.264,0.736,0.0,77,"RT @BBCSport: Laura Kenny's bid for three golds at the European Championships is off to a good start.
👉 https://t.co/f3hw1wdggv https://t.c…"
@BBCNews,Thu Aug 02 19:56:32 +0000 2018,0.3612,0.102,0.898,0.0,78,"RT @BBCWorld: ""I feel like I'm flying""

Clark Kent says people have been calling him Superman since he beat Michael Phelps' record 🏊

https…"
@BBCNews,Thu Aug 02 19:50:25 +0000 2018,-0.128,0.0,0.936,0.064,79,"RT @BBCWorld: Cocaine trafficking in Colombia is being fuelled by demand in the US and Europe

We joined the authorities for a look inside…"
@BBCNews,Thu Aug 02 19:45:04 +0000 2018,0.1531,0.286,0.714,0.0,80,One careful (Royal) owner 🤴 https://t.co/FOfaGWGO8D
@BBCNews,Thu Aug 02 19:40:33 +0000 2018,0.4588,0.375,0.625,0.0,81,Interest rates: Your questions answered https://t.co/6b7MAEnaQZ
@BBCNews,Thu Aug 02 19:37:32 +0000 2018,-0.34,0.0,0.745,0.255,82,US accuses Russia of 'pervasive' election meddling https://t.co/9U5OofizJN
@BBCNews,Thu Aug 02 19:14:10 +0000 2018,0.2023,0.076,0.924,0.0,83,RT @BBCScienceNews: We now know the first people to live at Stonehenge came from Wales and we know they were important people... https://t.…
@BBCNews,Thu Aug 02 18:17:49 +0000 2018,-0.4939,0.0,0.758,0.242,84,Man who threw baby out of window in Luton jailed https://t.co/dGVB4SEnUa
@BBCNews,Thu Aug 02 17:47:49 +0000 2018,0.0,0.0,1.0,0.0,85,RT @BBCScotlandNews: Dad uses earphones to deliver baby https://t.co/BPGXw8h58K https://t.co/99WjP7U1On
@BBCNews,Thu Aug 02 17:14:57 +0000 2018,0.4215,0.237,0.763,0.0,86,Jeremy Corbyn hoping to deliver speech at Jewish venue https://t.co/JFSTIFGx8h
